species,family
Achillea millefolium,Asteraceae
Agoseris aurantiaca,Asteraceae
Agoseris glauca,Asteraceae
Agoseris sp.,Asteraceae
Androsace septentrionalis,Primulaceae
Aphyllon fasciculatum,Scrophulariaceae
Aquilegia caerulea,Ranunculaceae
Artemisia tridentata,Asteraceae
Atriplex argentea,Chenopodiaceae
Boechera stricta,Brassicaceae
Bromus carinatus,Poaceae
Campanula rotundifolia,Campanulaceae
Carex sp.,Cyperaceae
Castilleja sulphurea,Scrophulariaceae
Chamaenerion angustifolium,Onagraceae
Claytonia lanceolata,Portulacaceae
Collomia linearis,Polemoniaceae
Delphinium nuttallianum,Ranunculaceae
Draba albertina,Brassicaceae
Draba spectabilis,Brassicaceae
Elymus bakeri,Poaceae
Elymus repens,Poaceae
Epilobium sp.,Onagraceae
Erigeron coulteri,Asteraceae
Erigeron elatior,Asteraceae
Erigeron sp.,Asteraceae
Erigeron speciosus,Asteraceae
Erythronium grandiflorum,Liliaceae
Festuca rubra,Poaceae
Festuca thurberi,Poaceae
Fragaria virginiana,Rosaceae
Frasera speciosa,Gentianaceae
Galium bifolium,Rubiaceae
Galium coloradoense,Rubiaceae
Gentiana parryi,Gentianaceae
Gentianella campestris,Gentianaceae
Geranium richardsonii,Geraniaceae
Helianthella quinquenervis,Asteraceae
Heliomeris multiflora,Asteraceae
Heterotheca pumila,Asteraceae
Hydrophyllum capitatum,Hydrophyllaceae
Hymenoxys hoopesii,Asteraceae
Lathyrus lanszwertii,Fabaceae
Ligusticum porteri,Apiaceae
Linum lewisii,Linaceae
Lithophragma glabrum,Saxifragaceae
Lupinus sp.,Fabaceae
Melica spectabilis,Poaceae
Mertensia fusiformis,Boraginaceae
Noccaea fendleri,Brassicaceae
Osmorhiza occidentalis,Apiaceae
Poa pratensis,Poaceae
Poa reflexa,Poaceae
Polygonum douglasii,Polygonaceae
Potentilla pulcherrima,Rosaceae
Ranunculus inamoenus,Ranunculaceae
Rhodiola integrifolia,Crassulaceae
Senecio crassulus,Asteraceae
Senecio integerrimus,Asteraceae
Stipa nelsonii,Poaceae
Symphyotrichum ascendens,Asteraceae
Taraxacum officinale,Asteraceae
Thalictrum fendleri,Ranunculaceae
Tragopogon dubius,Asteraceae
Valeriana edulis,Valerianaceae
Valeriana occidentalis,Valerianaceae
Veratrum californicum,Melanthiaceae
Vicia americana,Fabaceae
Viola nuttallii,Violaceae
